,id,mask,img,coverage,coverage_strata
0,000e218f21,./tgs/train/masks/000e218f21.png,./tgs/train/images/000e218f21.png,0.0,0
1,003c477d7c,./tgs/train/masks/003c477d7c.png,./tgs/train/images/003c477d7c.png,0.03293794726007254,0
2,00441f1cf2,./tgs/train/masks/00441f1cf2.png,./tgs/train/images/00441f1cf2.png,0.0,0
3,0050766ae2,./tgs/train/masks/0050766ae2.png,./tgs/train/images/0050766ae2.png,0.0,0
4,005b452274,./tgs/train/masks/005b452274.png,./tgs/train/images/005b452274.png,0.0,0
5,0061281eea,./tgs/train/masks/0061281eea.png,./tgs/train/images/0061281eea.png,0.5398490344083914,5
6,008a50a2ec,./tgs/train/masks/008a50a2ec.png,./tgs/train/images/008a50a2ec.png,0.004313302617390452,0
7,00950d1627,./tgs/train/masks/00950d1627.png,./tgs/train/images/00950d1627.png,0.8811881188118812,8
8,00a3af90ab,./tgs/train/masks/00a3af90ab.png,./tgs/train/images/00a3af90ab.png,0.00235271051857661,0
9,00cda0328c,./tgs/train/masks/00cda0328c.png,./tgs/train/images/00cda0328c.png,0.0,0
10,0108518d1e,./tgs/train/masks/0108518d1e.png,./tgs/train/images/0108518d1e.png,0.6314086854229978,6
11,010ee525b6,./tgs/train/masks/010ee525b6.png,./tgs/train/images/010ee525b6.png,0.0,0
12,0115703825,./tgs/train/masks/0115703825.png,./tgs/train/images/0115703825.png,0.05156357219880404,0
13,01323211a0,./tgs/train/masks/01323211a0.png,./tgs/train/images/01323211a0.png,0.16714047642388002,1
14,016fc8031c,./tgs/train/masks/016fc8031c.png,./tgs/train/images/016fc8031c.png,0.0,0
15,019afb4b4e,./tgs/train/masks/019afb4b4e.png,./tgs/train/images/019afb4b4e.png,0.21017547299284384,2
16,01b5362cce,./tgs/train/masks/01b5362cce.png,./tgs/train/images/01b5362cce.png,0.8822664444662288,8
17,01c033e116,./tgs/train/masks/01c033e116.png,./tgs/train/images/01c033e116.png,0.15400450936182727,1
18,01c2045d03,./tgs/train/masks/01c2045d03.png,./tgs/train/images/01c2045d03.png,0.0,0
19,020376e68e,./tgs/train/masks/020376e68e.png,./tgs/train/images/020376e68e.png,0.0,0
20,020678ec1b,./tgs/train/masks/020678ec1b.png,./tgs/train/images/020678ec1b.png,0.46005293598666797,4
21,02117a400e,./tgs/train/masks/02117a400e.png,./tgs/train/images/02117a400e.png,0.237819821586119,2
22,021494f3aa,./tgs/train/masks/021494f3aa.png,./tgs/train/images/021494f3aa.png,0.0,0
